		bel	deu	est	fin	lav	lit	pol	rml	rus	swe	ces	hun	nld	nob	rmy	ukr
CB	bel	0.00	0.14	0.15	0.15	0.14	0.11	0.11	0.04	0.09	0.14	0.15	0.22	0.30	0.15	0.17	0.11
CB	deu	0.14	0.00	0.14	0.20	0.12	0.15	0.13	0.09	0.17	0.16	0.17	0.25	0.26	0.17	0.19	0.16
CB	est	0.15	0.14	0.00	0.11	0.08	0.11	0.14	0.09	0.14	0.14	0.17	0.20	0.29	0.13	0.20	0.18
CB	fin	0.15	0.20	0.11	0.00	0.09	0.14	0.15	0.09	0.13	0.15	0.18	0.20	0.31	0.13	0.21	0.20
CB	lav	0.14	0.12	0.08	0.09	0.00	0.08	0.13	0.08	0.13	0.10	0.13	0.20	0.18	0.12	0.11	0.15
CB	lit	0.11	0.15	0.11	0.14	0.08	0.00	0.12	0.07	0.10	0.14	0.16	0.21	0.30	0.14	0.20	0.18
CB	pol	0.11	0.13	0.14	0.15	0.13	0.12	0.00	0.08	0.12	0.14	0.11	0.23	0.21	0.14	0.13	0.14
CB	rml	0.04	0.09	0.09	0.09	0.08	0.07	0.08	0.00	0.09	0.07	0.15	0.12	0.16	0.10	0.08	0.11
CB	rus	0.09	0.17	0.14	0.13	0.13	0.10	0.12	0.09	0.00	0.13	0.14	0.22	0.29	0.15	0.17	0.13
CB	swe	0.14	0.16	0.14	0.15	0.10	0.14	0.14	0.07	0.13	0.00	0.17	0.23	0.27	0.07	0.16	0.17
n	ces	0.15	0.17	0.17	0.18	0.13	0.16	0.11	0.15	0.14	0.17	0.00	0.24	0.28	0.16	0.22	0.19
n	hun	0.22	0.25	0.20	0.20	0.20	0.21	0.23	0.12	0.22	0.23	0.24	0.00	0.29	0.22	0.22	0.23
n	nld	0.30	0.26	0.29	0.31	0.18	0.30	0.21	0.16	0.29	0.27	0.28	0.29	0.00	0.25	0.26	0.32
n	nob	0.15	0.17	0.13	0.13	0.12	0.14	0.14	0.10	0.15	0.07	0.16	0.22	0.25	0.00	0.16	0.16
n	rmy	0.17	0.19	0.20	0.21	0.11	0.20	0.13	0.08	0.17	0.16	0.22	0.22	0.26	0.16	0.00	0.20
n	ukr	0.11	0.16	0.18	0.20	0.15	0.18	0.14	0.11	0.13	0.17	0.19	0.23	0.32	0.16	0.20	0.00
