		bel	deu	est	fin	lav	lit	pol	rml	rus	swe	ces	hun	nld	nob	rmy	ukr
CB	bel	0.00	0.1544867733	0.1658338385	0.1541720257	0.1509576421	0.1277873464	0.1166914769	0.0502420308	0.098836971	0.160311028	0.1488858529	0.2220164678	0.2927336255	0.1507958682	0.1605497871	0.1262071474
CB	deu	0.1544867733	0.00	0.160618962	0.218194064	0.134818032	0.1680718594	0.1412875112	0.1075397148	0.1824989319	0.170377704	0.1815605511	0.2629208929	0.260159549	0.1848846312	0.20367677	0.2386312155
CB	est	0.1658338385	0.160618962	0.00	0.1218585864	0.0945399547	0.1189032311	0.1595046929	0.1018522658	0.1481750504	0.150538942	0.1889804421	0.2121154185	0.2940352647	0.1405016772	0.2109201166	0.1992651208
CB	fin	0.1541720257	0.218194064	0.1218585864	0.00	0.0986762394	0.1445460454	0.1772462412	0.1028329026	0.1388575382	0.1410763328	0.1876044614	0.2036486102	0.3089075627	0.1561758087	0.2059459987	0.2181310756
CB	lav	0.1509576421	0.134818032	0.0945399547	0.0986762394	0	0.0871603107	0.1468957894	0.0931313038	0.1386344949	0.1137243987	0.1442818142	0.2116386224	0.1933043302	0.1328820437	0.1221591231	0.1689501398
CB	lit	0.1277873464	0.1680718594	0.1189032311	0.1445460454	0.0871603107	0	0.1276896368	0.0831334496	0.1242369977	0.147485968	0.1701891345	0.2061042759	0.2954251137	0.146042392	0.2039125535	0.2014265564
CB	pol	0.1166914769	0.1412875112	0.1595046929	0.1772462412	0.1468957894	0.1276896368	0	0.0929493425	0.1093511249	0.150115183	0.123564521	0.2346429363	0.2193860091	0.1559491584	0.1332260054	0.1534444408
CB	rml	0.0502420308	0.1075397148	0.1018522658	0.1028329026	0.0931313038	0.0831334496	0.0929493425	0	0.0976502998	0.0793902781	0.1645243434	0.1315734797	0.168708524	0.1120370554	0.092578521	0.129854726
CB	rus	0.098836971	0.1824989319	0.1481750504	0.1388575382	0.1386344949	0.1242369977	0.1093511249	0.0976502998	0	0.1505796282	0.13595071	0.2196644741	0.2848494201	0.1771266915	0.1425005556	0.1425702952
CB	swe	0.160311028	0.170377704	0.150538942	0.1410763328	0.1137243987	0.147485968	0.150115183	0.0793902781	0.1505796282	0	0.1858588998	0.245072612	0.2827404226	0.0735051985	0.172510507	0.1835235113
n	ces	0.1488858529	0.1815605511	0.1889804421	0.1876044614	0.1442818142	0.1701891345	0.123564521	0.1645243434	0.13595071	0.1858588998	0	0.2508316642	0.2811730979	0.1861387569	0.2280378103	0.2080274788
n	hun	0.2220164678	0.2629208929	0.2121154185	0.2036486102	0.2116386224	0.2061042759	0.2346429363	0.1315734797	0.2196644741	0.245072612	0.2508316642	0	0.2950367317	0.2303191663	0.2319311033	0.1879255359
n	nld	0.2927336255	0.260159549	0.2940352647	0.3089075627	0.1933043302	0.2954251137	0.2193860091	0.168708524	0.2848494201	0.2827404226	0.2811730979	0.2950367317	0	0.2619734362	0.2680558043	0.3211067471
n	nob	0.1507958682	0.1848846312	0.1405016772	0.1561758087	0.1328820437	0.146042392	0.1559491584	0.1120370554	0.1771266915	0.0735051985	0.1861387569	0.2303191663	0.2619734362	0	0.1668940025	0.1738107591
n	rmy	0.1605497871	0.20367677	0.2109201166	0.2059459987	0.1221591231	0.2039125535	0.1332260054	0.092578521	0.1425005556	0.172510507	0.2280378103	0.2319311033	0.2680558043	0.1668940025	0	0.1895813674
n	ukr	0.1262071474	0.2386312155	0.1992651208	0.2181310756	0.1689501398	0.2014265564	0.1534444408	0.129854726	0.1425702952	0.1835235113	0.2080274788	0.1879255359	0.3211067471	0.1738107591	0.1895813674	0
