	bel	deu	est	fin	lav	lit	pol	rml	rus	swe	ces	hun	nld	nob	rmy	ukr	
bel	0	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2	
deu	1	0	1	1	1	1	1	1	1	1	2	2	2	2	2	2	
est	1	1	0	1	1	1	1	1	1	1	2	2	2	2	2	2	
fin	1	1	1	0	1	1	1	1	1	1	2	2	2	2	2	2	
lav	1	1	1	1	0	1	1	1	1	1	2	2	2	2	2	2	
lit	1	1	1	1	1	0	1	1	1	1	2	2	2	2	2	2	
pol	1	1	1	1	1	1	0	1	1	1	2	2	2	2	2	2	
rml	1	1	1	1	1	1	1	0	1	1	2	2	2	2	2	2	
rus	1	1	1	1	1	1	1	1	0	1	2	2	2	2	2	2	
swe	1	1	1	1	1	1	1	1	1	0	2	2	2	2	2	2	
ces	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	
hun	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	
nld	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	
nob	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	2	
rmy	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	
ukr	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	
