	bel	deu	est	fin	lav	lit	pol	rml	rus	swe	ces	hun	nld	nob	rmy	ukr
bel	0	2	3	3	2	2	1	2	1	2	1	3	2	2	2	1
deu	2	0	3	3	2	2	2	2	2	1	2	3	1	1	2	2
est	3	3	0	1	3	3	3	3	3	3	3	2	3	3	3	3
fin	3	3	1	0	3	3	3	3	3	3	3	2	3	3	3	3
lav	2	2	3	3	0	1	2	2	2	2	2	3	2	2	2	2
lit	2	2	3	3	1	0	2	2	2	2	2	3	2	2	2	2
pol	1	2	3	3	2	2	0	2	1	2	1	3	2	2	2	1
rml	2	2	3	3	2	2	2	0	2	2	2	3	2	2	1	2
rus	1	2	3	3	2	2	1	2	0	2	1	3	2	2	2	1
swe	2	1	3	3	2	2	2	2	2	0	2	3	3	3	3	3
ces	1	2	3	3	2	2	1	2	1	2	0	3	2	2	2	1
hun	3	3	2	2	3	3	3	3	3	3	3	0	3	3	3	3
nld	2	1	3	3	2	2	2	2	2	3	2	3	0	1	2	2
nob	2	1	3	3	2	2	2	2	2	3	2	3	1	0	2	2
rmy	2	2	3	3	2	2	2	1	2	3	2	3	2	2	0	2
ukr	1	2	3	3	2	2	1	2	1	3	1	3	2	2	2	0
